stage,relative_path,reason,size_bytes
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part046.csv,skip_pattern:contexts_part,1631595
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part047.csv,skip_pattern:contexts_part,1631842
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part048.csv,skip_pattern:contexts_part,1645344
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part049.csv,skip_pattern:contexts_part,1651155
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part050.csv,skip_pattern:contexts_part,1644372
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part051.csv,skip_pattern:contexts_part,1645899
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part052.csv,skip_pattern:contexts_part,1647372
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part053.csv,skip_pattern:contexts_part,1647497
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part054.csv,skip_pattern:contexts_part,1652952
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part055.csv,skip_pattern:contexts_part,1648338
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part056.csv,skip_pattern:contexts_part,1653621
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part057.csv,skip_pattern:contexts_part,1649139
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part058.csv,skip_pattern:contexts_part,1652801
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part059.csv,skip_pattern:contexts_part,1643176
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part060.csv,skip_pattern:contexts_part,1652728
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part061.csv,skip_pattern:contexts_part,1649678
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part062.csv,skip_pattern:contexts_part,1652669
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part063.csv,skip_pattern:contexts_part,1651873
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part064.csv,skip_pattern:contexts_part,1652406
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part065.csv,skip_pattern:contexts_part,1647116
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part066.csv,skip_pattern:contexts_part,1654194
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part067.csv,skip_pattern:contexts_part,1652782
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part068.csv,skip_pattern:contexts_part,1650396
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part069.csv,skip_pattern:contexts_part,1653809
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part070.csv,skip_pattern:contexts_part,1649287
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part071.csv,skip_pattern:contexts_part,1653755
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part072.csv,skip_pattern:contexts_part,1651422
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part073.csv,skip_pattern:contexts_part,1653209
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part074.csv,skip_pattern:contexts_part,1651198
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part075.csv,skip_pattern:contexts_part,1653141
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part076.csv,skip_pattern:contexts_part,1652029
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part077.csv,skip_pattern:contexts_part,1654722
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part078.csv,skip_pattern:contexts_part,1652726
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part079.csv,skip_pattern:contexts_part,1651468
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part080.csv,skip_pattern:contexts_part,1655005
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part081.csv,skip_pattern:contexts_part,1653325
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part082.csv,skip_pattern:contexts_part,1651566
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part083.csv,skip_pattern:contexts_part,1649261
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part084.csv,skip_pattern:contexts_part,1649943
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part085.csv,skip_pattern:contexts_part,1654860
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part086.csv,skip_pattern:contexts_part,507400
61_proximity_vs_cloud_separation_review,02_raw_relevant_file_inventory.csv,too_large,3000319
61_proximity_vs_cloud_separation_review,03_bssid_plmn_observations_part001.csv,skip_pattern:03_bssid_plmn_observations_part,5581
61_proximity_vs_cloud_separation_review,61_proximity_vs_cloud_separation_review.py,not_safe_ext:.py,42600
61_proximity_vs_cloud_separation_review,run_61_proximity_vs_cloud_separation_review.bat,not_safe_ext:.bat,1032
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part001.csv,skip_pattern:contexts_part,1717862
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part002.csv,skip_pattern:contexts_part,1722227
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part003.csv,skip_pattern:contexts_part,1712722
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part004.csv,skip_pattern:contexts_part,1716668
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part005.csv,skip_pattern:contexts_part,1722498
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part006.csv,skip_pattern:contexts_part,1716886
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part007.csv,skip_pattern:contexts_part,1722336
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part008.csv,skip_pattern:contexts_part,1720168
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part009.csv,skip_pattern:contexts_part,1719758
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part010.csv,skip_pattern:contexts_part,1720570
62_evidence_preservation_suppression_review,01_evidence_pressure_contexts_part011.csv,skip_pattern:contexts_part,1717832
